,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,SCALED_SCORE
2673,1,1,0,0,76500.0,4,4,1,1,-10356,-1357,1,0,0,0,4,2.0,5.0
2674,1,0,0,1,135000.0,4,4,1,2,-14534,-6652,1,0,0,0,8,3.0,5.55
2676,1,0,1,0,144000.0,4,4,3,1,-8692,-473,1,0,0,0,14,1.0,5.333333333333333
2677,1,1,1,0,112500.0,4,1,1,1,-17385,-1327,1,0,0,0,3,2.0,5.0
2679,0,1,1,0,247500.0,4,4,3,1,-19046,-5618,1,0,0,0,8,1.0,5.625
2680,1,1,0,2,180000.0,0,4,1,1,-14452,-4249,1,0,0,0,4,4.0,5.0
2681,0,0,0,1,162000.0,4,4,1,2,-15137,-2238,1,1,1,0,14,3.0,5.875
2682,0,1,1,0,180000.0,0,4,1,1,-8134,-657,1,0,0,0,10,2.0,4.75
2683,0,0,0,0,270000.0,4,1,3,4,-13762,-1965,1,1,0,0,11,1.0,5.469387755102041
2684,0,0,1,0,315000.0,4,1,1,1,-13589,-200,1,0,0,1,0,2.0,5.96969696969697
2687,0,0,1,1,72000.0,4,1,1,1,-12522,-382,1,0,0,0,6,3.0,4.888888888888889
2688,1,0,1,2,360000.0,4,4,1,1,-17804,-1143,1,0,0,0,4,4.0,5.608695652173913
2689,0,0,1,0,202500.0,4,4,1,1,-14813,-657,1,0,0,0,6,2.0,5.875
2690,1,1,0,1,180000.0,4,4,1,1,-11498,-4491,1,0,0,0,17,3.0,5.0
2691,0,0,1,0,180000.0,4,1,3,1,-9134,-1812,1,1,1,0,15,1.0,4.875
2693,1,1,0,2,225000.0,2,1,1,5,-10937,-1539,1,0,0,0,6,4.0,5.933333333333334
2694,1,1,0,1,180000.0,2,4,1,1,-14759,-991,1,0,0,0,4,3.0,4.933333333333334
2695,1,1,1,1,157500.0,4,4,1,1,-17991,-3304,1,0,0,0,17,3.0,5.647058823529412
2696,0,0,1,0,99000.0,4,4,1,1,-18976,-3730,1,1,0,0,14,2.0,5.764705882352941
2699,0,1,1,0,153000.0,4,4,1,1,-14966,-170,1,0,0,0,17,2.0,5.0
2700,0,1,0,0,112500.0,4,1,1,2,-15417,-1569,1,0,0,0,17,2.0,5.583333333333333
2701,0,0,1,2,90000.0,4,4,1,1,-11762,-716,1,0,0,0,17,4.0,5.0
2702,1,1,1,1,360000.0,4,1,1,1,-15556,-1327,1,0,0,0,4,3.0,5.846153846153846
2703,0,0,1,1,270000.0,2,4,1,1,-14400,-2512,1,0,0,0,11,3.0,5.0
2704,0,0,1,1,157500.0,4,2,1,1,-10508,-139,1,1,0,0,3,3.0,5.5
2705,1,1,1,1,139500.0,4,4,1,1,-14355,-5557,1,1,0,0,8,3.0,5.76
2707,0,1,1,0,157500.0,4,4,1,1,-14854,-2452,1,0,1,0,17,2.0,5.75
2709,0,0,1,0,180000.0,4,4,1,1,-14530,-4675,1,1,1,0,10,2.0,5.0
2710,0,0,1,1,270000.0,2,4,0,1,-12721,-5252,1,0,0,0,11,3.0,5.775
2711,0,0,1,1,270000.0,4,1,1,1,-13749,-2877,1,1,1,0,10,3.0,5.0
2712,0,0,1,0,247500.0,0,1,3,1,-13788,-3822,1,1,1,0,8,1.0,5.476190476190476
2713,0,0,1,1,135000.0,0,4,1,1,-10872,-1051,1,0,0,0,8,3.0,5.466666666666667
2714,0,0,1,0,126000.0,0,1,2,1,-16236,-3000,1,0,0,0,10,1.0,5.877551020408164
2715,1,0,1,0,180000.0,0,1,2,1,-10282,-108,1,0,0,0,3,1.0,5.527777777777778
2716,0,1,1,1,202500.0,4,4,1,1,-16499,-2391,1,0,0,0,8,3.0,5.0
2717,1,1,1,1,225000.0,4,1,1,1,-12607,-2177,1,0,0,0,6,3.0,6.0
2718,1,0,0,1,216000.0,0,1,2,1,-10776,-1174,1,0,0,0,8,2.0,5.857142857142857
2720,1,1,0,0,292500.0,4,1,3,1,-10460,-231,1,0,0,0,4,1.0,5.727272727272728
2721,1,0,0,0,180000.0,0,1,3,1,-8157,-108,1,0,0,0,17,1.0,5.0
2722,1,0,0,0,225000.0,0,2,3,1,-9448,-1022,1,0,0,0,4,1.0,5.9
2723,1,1,0,0,225000.0,0,1,1,1,-13271,-1569,1,0,0,0,17,2.0,5.914285714285715
2725,0,1,0,0,270000.0,4,1,1,1,-19963,-1235,1,0,1,0,11,2.0,5.0
2727,1,1,0,0,180000.0,4,4,3,1,-9278,-1113,1,0,0,0,17,1.0,5.0
2728,1,0,1,1,180000.0,4,1,1,1,-9441,-1235,1,0,0,0,10,3.0,5.5
2730,0,1,0,0,292500.0,2,1,0,1,-10316,-1631,1,0,0,0,6,2.0,5.6875
2731,0,1,0,0,202500.0,4,1,1,1,-9242,-139,1,0,0,0,0,2.0,5.0
2734,1,1,0,0,135000.0,4,1,1,1,-15519,-2026,1,1,0,0,17,2.0,5.0
2736,0,0,1,0,67500.0,4,4,1,1,-13668,-808,1,0,0,0,8,2.0,5.576923076923077
2737,0,0,0,1,270000.0,4,4,2,1,-16517,-991,1,0,0,0,3,2.0,5.945454545454545
2738,0,0,1,1,180000.0,4,4,0,1,-14412,-4614,1,0,0,0,17,3.0,5.0
2739,0,1,0,0,193500.0,4,4,1,1,-20836,-8966,1,0,0,0,17,2.0,5.666666666666667
2740,0,1,1,2,315000.0,0,1,1,5,-12621,-1327,1,0,0,0,10,4.0,4.75
2741,1,0,0,0,121500.0,4,1,1,1,-9740,-3030,1,0,0,0,17,2.0,6.0
2742,0,1,1,1,315000.0,0,1,1,1,-16710,-3092,1,0,0,0,10,3.0,5.947368421052632
2745,0,0,0,0,90000.0,0,4,3,2,-8541,-565,1,0,0,0,6,1.0,5.578947368421052
2746,0,0,1,2,292500.0,4,1,1,1,-12079,-1569,1,0,0,0,10,4.0,5.647058823529412
2747,1,1,1,0,315000.0,0,4,1,4,-16990,-2026,1,0,0,0,4,2.0,5.620689655172414
2749,1,0,0,0,247500.0,2,4,3,1,-15037,-2208,1,0,0,0,8,1.0,6.0
2750,0,1,0,1,387000.0,4,1,1,1,-13168,-2574,1,0,0,0,10,3.0,5.25
2751,0,1,1,0,157500.0,4,4,3,1,-19057,-3913,1,0,0,0,17,1.0,5.807692307692308
2752,1,0,1,1,270000.0,0,4,1,1,-15646,-4614,1,0,0,0,8,3.0,5.0
2753,1,1,0,1,90000.0,4,4,1,5,-9087,-1051,1,0,0,0,8,3.0,6.0
2754,1,1,1,1,360000.0,4,1,1,1,-11767,-3883,1,1,0,0,10,3.0,5.566666666666666
2755,0,0,1,0,225000.0,4,4,1,1,-21144,-1692,1,0,0,0,14,2.0,5.0
2756,0,0,0,0,117000.0,0,4,3,2,-17257,-777,1,0,0,0,8,1.0,4.909090909090909
2757,0,0,1,0,157500.0,0,4,1,1,-15256,-4491,1,0,0,0,8,2.0,5.0
2758,0,0,1,1,225000.0,4,4,3,1,-15039,-3334,1,0,1,0,12,2.0,5.8604651162790695
2759,0,0,1,0,103500.0,2,4,0,1,-10961,-473,1,0,0,0,2,2.0,5.853658536585366
2760,1,1,1,1,247500.0,2,4,1,1,-11992,-3579,1,0,0,0,10,3.0,5.82051282051282
2761,0,1,1,1,90000.0,4,4,0,1,-17069,-200,1,1,0,0,14,3.0,5.052631578947368
2762,0,1,1,2,157500.0,4,4,1,1,-11248,-1266,1,1,0,0,14,4.0,4.9
2764,0,0,1,0,180000.0,4,4,1,1,-18374,-320,1,0,0,0,14,2.0,5.4
2765,0,0,1,0,139500.0,2,1,1,1,-17801,-8479,1,0,0,0,10,2.0,5.0
2766,0,0,0,0,225000.0,0,1,1,1,-22846,-9239,1,0,0,0,17,2.0,5.1
2767,0,0,1,0,202500.0,0,1,1,1,-12972,-2208,1,1,1,0,10,2.0,5.620689655172414
2769,0,0,1,0,270000.0,2,1,2,1,-19498,-1357,1,0,0,0,3,1.0,5.583333333333333
2770,0,1,1,2,112500.0,2,3,1,1,-14234,-5710,1,1,0,0,11,4.0,5.6571428571428575
2771,0,1,1,0,99000.0,4,4,1,1,-21030,-2299,1,0,0,0,17,2.0,5.2
2773,0,1,0,0,202500.0,4,4,0,1,-18671,-1174,1,0,0,0,11,2.0,5.944444444444445
2775,0,0,1,2,202500.0,4,4,0,1,-13643,-3883,1,0,0,0,1,4.0,5.0
2776,1,0,0,0,126000.0,4,1,3,1,-12616,-1904,1,1,1,0,3,1.0,5.413793103448276
2777,0,0,1,0,135000.0,4,4,1,1,-20301,-3092,1,1,1,0,10,2.0,5.814814814814815
2778,1,0,1,1,117000.0,4,4,0,1,-15335,-1569,1,0,0,0,8,3.0,5.166666666666667
2780,1,0,0,0,225000.0,0,4,2,4,-17755,-4338,1,0,0,0,4,1.0,5.85
2781,0,0,1,0,126000.0,4,4,0,1,-16120,-991,1,0,1,0,14,2.0,5.0
2782,1,1,0,0,180000.0,4,1,1,5,-11043,-2087,1,0,0,0,4,2.0,5.083333333333333
2783,0,1,1,0,90000.0,2,4,1,1,-19284,-2604,1,1,1,0,3,2.0,5.684210526315789
2785,1,1,1,0,225000.0,0,1,1,1,-14560,-2422,1,0,0,0,8,2.0,5.980392156862745
2786,1,0,1,0,180000.0,4,4,1,1,-19991,-1692,1,1,1,0,16,2.0,5.0
2787,1,1,0,0,180000.0,4,4,3,1,-20142,-108,1,0,0,0,6,1.0,5.0
2789,0,0,0,1,202500.0,0,4,1,1,-11447,-3030,1,0,0,0,8,3.0,5.166666666666667
2790,0,0,1,0,67500.0,4,4,1,1,-18206,-4096,1,0,0,0,17,2.0,5.578947368421052
2791,0,0,1,2,115200.0,0,4,1,1,-14876,-716,1,0,0,0,8,4.0,5.545454545454546
2793,1,1,1,2,270000.0,0,1,1,1,-17280,-565,1,1,0,0,10,4.0,5.0
2795,1,0,1,1,157500.0,4,4,1,1,-12078,-2727,1,0,0,0,16,3.0,5.076923076923077
2797,1,1,1,0,112500.0,4,4,3,1,-10475,-2757,1,1,1,1,4,1.0,5.0
2799,1,1,0,2,292500.0,0,4,1,1,-13195,-1266,1,0,0,0,8,4.0,4.8
2801,0,0,1,0,157500.0,2,4,1,1,-18008,-2361,1,1,0,0,17,2.0,5.689655172413793
2803,0,1,1,1,157500.0,4,4,3,1,-10671,-1266,1,0,0,0,12,2.0,5.0
2804,1,1,1,1,58500.0,4,4,1,1,-13791,-2818,1,1,1,0,4,3.0,5.0
2805,0,0,0,1,99000.0,4,4,0,2,-16243,-3273,1,0,1,0,0,3.0,5.851851851851852
2806,0,1,1,0,90000.0,0,4,1,1,-11160,-1904,1,0,0,0,14,2.0,5.672727272727273
2809,0,1,1,1,72000.0,4,4,1,1,-17136,-1266,1,0,0,0,14,3.0,5.813953488372093
2811,0,1,1,0,135000.0,4,1,1,1,-10486,-1022,1,1,1,1,14,2.0,5.0
2813,1,0,1,0,157500.0,4,4,3,1,-11859,-1022,1,0,1,0,10,1.0,5.0
2814,1,1,1,0,315000.0,0,4,1,1,-21601,-1600,1,0,1,0,10,2.0,5.375
2815,0,0,1,0,180000.0,0,4,1,1,-16510,-2788,1,1,1,0,17,2.0,5.878048780487805
2817,0,0,1,1,157500.0,0,4,1,1,-15466,-2269,1,0,1,0,9,3.0,5.0
2819,0,1,1,1,112500.0,0,4,1,1,-13448,-2422,1,0,0,0,8,3.0,4.888888888888889
2820,0,0,0,0,112500.0,0,4,1,1,-24064,-2177,1,0,0,0,17,2.0,5.0
2821,0,0,0,1,85500.0,4,4,0,1,-10217,-900,1,1,0,0,0,3.0,5.0
2822,1,0,1,1,180000.0,4,3,1,1,-10581,-1692,1,1,0,0,17,3.0,5.333333333333333
2823,0,0,1,0,90000.0,4,4,0,5,-14386,-139,1,1,1,0,14,2.0,5.0
2825,0,0,1,0,120150.0,0,4,3,1,-22220,-930,1,0,0,0,16,1.0,5.604651162790698
2826,0,0,0,0,180000.0,4,2,1,1,-19558,-1904,1,0,0,0,8,2.0,5.0
2829,1,1,1,0,382500.0,4,4,1,1,-21748,-1388,1,0,0,0,16,2.0,5.142857142857143
2830,1,1,1,0,270000.0,4,1,1,1,-14466,-1569,1,0,1,0,17,2.0,5.0
2832,1,1,1,0,225000.0,4,4,1,1,-10911,-535,1,0,0,0,8,2.0,5.916666666666667
2833,0,0,1,1,157500.0,0,1,1,1,-14110,-4979,1,0,1,0,8,3.0,5.0
2834,1,1,1,0,157500.0,2,1,1,1,-16783,-473,1,0,1,0,3,2.0,5.0
2835,0,0,0,0,67500.0,4,4,1,5,-16366,-108,1,0,0,0,1,2.0,5.558139534883721
2837,0,0,1,0,216000.0,2,1,1,1,-19949,-4644,1,1,1,0,3,2.0,5.181818181818182
2838,1,1,1,0,292500.0,0,4,1,5,-9980,-351,1,0,0,0,4,2.0,5.647058823529412
2839,0,0,1,1,67500.0,4,1,1,1,-11140,-991,1,0,0,0,10,3.0,5.375
2841,0,1,0,2,135000.0,0,4,2,1,-10625,-1701,1,0,0,0,16,3.0,5.0
2842,1,0,1,0,112500.0,4,4,3,1,-8718,-756,1,0,0,0,8,1.0,5.0
2844,0,1,1,1,135000.0,0,4,1,1,-14687,-786,1,0,0,0,14,3.0,5.717948717948718
2845,0,0,1,0,256500.0,0,1,2,1,-19604,-970,1,0,0,0,10,1.0,6.0
2846,1,0,1,1,157500.0,4,4,0,1,-13314,-544,1,0,0,0,4,3.0,5.891304347826087
2847,0,1,1,0,67500.0,4,4,1,1,-19433,-3892,1,0,0,0,14,2.0,5.923076923076923
2849,1,1,1,1,373500.0,2,1,1,3,-13001,-1213,1,0,0,0,3,3.0,5.6923076923076925
2850,0,0,1,1,148500.0,4,4,1,1,-15083,-847,1,0,0,0,6,3.0,5.733333333333333
2851,0,0,1,0,90000.0,4,1,2,1,-18130,-666,1,1,1,0,8,1.0,5.827586206896552
2852,1,1,1,0,360000.0,4,1,1,1,-17255,-4865,1,0,0,0,8,2.0,5.235294117647059
2853,0,1,1,0,256500.0,0,1,0,1,-14131,-2674,1,0,1,0,0,2.0,5.615384615384615
2855,1,0,0,1,337500.0,0,1,1,1,-17593,-2370,1,0,0,1,10,3.0,5.0
2857,0,0,1,1,247500.0,0,1,1,1,-11232,-461,1,0,1,0,0,3.0,5.0
2858,0,0,1,1,67500.0,0,4,1,1,-18880,-4114,1,0,0,0,0,3.0,5.4
2859,0,0,0,0,90000.0,0,4,1,1,-8710,-522,1,0,0,0,17,2.0,5.0
2860,0,0,0,1,180000.0,2,1,1,1,-14069,-2500,1,1,1,1,3,3.0,5.148148148148148
2861,1,1,1,0,135000.0,4,1,1,1,-9075,-614,1,1,1,0,14,2.0,5.0
2862,0,0,1,0,99000.0,0,4,1,1,-19298,-4813,1,1,1,0,0,2.0,5.0
2864,1,1,1,0,157500.0,4,1,1,1,-21873,-4691,1,1,1,0,8,2.0,5.0
2865,0,0,0,0,202500.0,0,1,0,1,-9278,-339,1,0,1,0,14,2.0,5.8125
2866,0,1,1,0,112500.0,4,1,3,1,-11699,-918,1,0,0,1,17,1.0,5.0
2867,1,0,1,0,135000.0,4,4,1,1,-13753,-4813,1,0,1,0,10,2.0,5.0
2868,0,0,1,2,157500.0,4,4,3,1,-14717,-1496,1,0,0,0,17,3.0,5.0
2869,0,0,1,0,76500.0,4,4,1,1,-17782,-3291,1,1,1,0,10,2.0,5.893617021276596
2870,0,0,0,0,85500.0,4,1,1,1,-14414,-1253,1,0,0,0,0,2.0,5.7
2871,0,0,1,0,157500.0,4,1,2,1,-17618,-3748,1,0,0,0,17,1.0,5.827586206896552
2872,0,0,1,1,112500.0,2,2,1,1,-14423,-4571,1,0,0,0,0,3.0,5.0
2874,1,1,1,0,135000.0,0,4,3,1,-8737,-369,1,0,0,1,14,1.0,5.0
2875,0,0,1,2,157500.0,0,4,1,1,-10086,-1679,1,0,0,0,14,4.0,5.854166666666667
2876,1,0,1,2,135000.0,0,1,1,1,-12932,-583,1,0,0,0,8,4.0,5.0
2877,0,0,0,0,135000.0,0,4,1,1,-16008,-157,1,0,0,0,2,2.0,5.666666666666667
2879,0,0,1,0,157500.0,4,4,3,1,-14325,-277,1,0,0,0,14,1.0,5.0
2880,0,0,1,0,225000.0,0,4,2,1,-19733,-3901,1,0,1,0,12,1.0,5.784313725490196
2881,0,0,1,1,157500.0,4,4,1,1,-14760,-218,1,0,0,0,14,3.0,5.0
2882,0,1,1,0,225000.0,0,1,1,1,-10457,-979,1,0,0,0,17,2.0,5.0
2883,0,0,1,1,112500.0,3,4,0,1,-12127,-795,1,0,0,0,8,3.0,5.0
2884,1,0,1,0,135000.0,4,4,3,1,-17137,-614,1,0,0,0,8,1.0,5.0
2885,0,1,0,0,103500.0,4,1,1,1,-14276,-2561,1,1,1,0,14,2.0,5.852941176470588
2886,0,1,0,0,135000.0,0,4,1,1,-10445,-249,1,0,0,0,8,2.0,5.111111111111111
2887,1,1,1,0,315000.0,0,4,1,1,-21871,-979,1,0,0,0,4,2.0,5.0
2888,1,1,1,1,292500.0,0,1,1,1,-12569,-3322,1,0,0,0,17,3.0,5.62962962962963
2890,0,1,1,1,76500.0,4,4,0,1,-14429,-2592,1,0,0,0,3,3.0,5.6923076923076925
2891,1,1,1,2,225000.0,4,4,1,1,-13532,-3870,1,0,0,0,8,4.0,5.833333333333333
2892,0,0,1,0,202500.0,4,4,1,1,-18381,-734,1,0,1,0,11,2.0,5.586206896551724
2893,0,0,1,2,202500.0,4,4,1,2,-11468,-4448,1,0,0,0,8,4.0,5.886363636363637
2894,0,0,1,2,180000.0,4,4,1,1,-12899,-157,1,0,1,0,8,4.0,5.521739130434782
2895,1,1,1,0,202500.0,0,4,1,1,-17850,-2014,1,0,1,0,2,2.0,5.714285714285714
2896,1,1,0,0,292500.0,4,4,3,1,-13999,-1526,1,0,1,0,4,1.0,5.2105263157894735
2897,1,1,1,1,270000.0,0,2,1,1,-16570,-2806,1,0,0,0,10,3.0,5.0
2898,0,1,1,1,90000.0,2,4,1,1,-13639,-188,1,1,0,0,2,3.0,5.851063829787234
2899,1,0,0,0,146250.0,4,4,3,4,-9225,-522,1,0,0,0,8,1.0,5.458333333333333
2900,1,0,1,0,144000.0,4,4,0,1,-16979,-1830,1,0,0,0,16,2.0,4.916666666666667
2901,0,1,1,0,112500.0,4,4,1,1,-12078,-673,1,1,1,0,8,2.0,5.8
2902,1,1,1,1,157500.0,4,1,1,1,-9599,-2987,1,0,0,0,8,3.0,5.4
2903,0,0,0,0,180000.0,4,4,4,2,-21413,-461,1,0,0,0,1,1.0,5.589743589743589
2904,0,0,1,0,180000.0,2,4,1,1,-19783,-3992,1,0,0,0,10,2.0,5.0
2905,1,1,1,0,247500.0,4,4,1,1,-14122,-3383,1,0,0,0,10,2.0,4.964285714285714
2906,1,1,1,2,180000.0,4,4,0,1,-13059,-4813,1,0,0,0,8,4.0,4.888888888888889
2907,0,0,1,0,121500.0,0,1,0,1,-11157,-277,1,0,0,0,0,2.0,5.777777777777778
2909,1,0,1,0,292500.0,0,1,1,1,-16280,-887,1,0,0,0,8,2.0,4.888888888888889
2910,0,0,1,0,193500.0,4,1,3,1,-17081,-4783,1,0,1,0,8,1.0,5.3125
2911,0,0,1,0,225000.0,4,1,4,1,-21450,-13245,1,0,0,0,3,1.0,4.967213114754099
2914,0,0,1,0,144000.0,4,4,3,1,-15138,-1769,1,1,0,0,8,1.0,5.709677419354839
2915,0,0,1,0,90000.0,0,4,1,1,-14960,-2865,1,0,0,0,8,2.0,5.882352941176471
2916,0,1,1,1,157500.0,4,3,1,1,-14400,-1435,1,0,0,0,14,3.0,5.833333333333333
2917,1,0,0,1,225000.0,0,1,1,1,-10565,-2348,1,0,0,0,8,3.0,5.222222222222222
2918,1,1,1,1,225000.0,4,1,1,1,-12203,-1314,1,0,0,0,10,3.0,5.0
2919,1,1,1,2,292500.0,0,4,1,1,-12091,-2653,1,0,1,0,17,4.0,5.7727272727272725
2921,1,1,1,0,135000.0,0,4,1,1,-18103,-3840,1,0,0,0,8,2.0,5.0
2922,0,1,0,2,135000.0,4,4,1,5,-10018,-704,1,0,0,1,8,4.0,4.866666666666666
2923,0,0,1,2,121500.0,4,4,0,1,-10625,-1800,1,0,0,0,14,4.0,4.888888888888889
2925,1,1,0,0,148500.0,4,4,0,1,-10986,-3595,1,1,1,0,8,2.0,5.0
2926,1,1,1,0,247500.0,2,1,3,1,-10012,-826,1,1,1,0,6,1.0,5.842105263157895
2929,1,1,1,1,270000.0,0,4,1,1,-12250,-857,1,0,0,0,8,3.0,5.0
2930,1,0,1,0,90000.0,4,4,2,4,-9327,-96,1,0,0,0,8,1.0,5.833333333333333
2931,0,0,0,0,90000.0,4,4,2,1,-18764,-9866,1,0,0,0,8,1.0,5.535714285714286
2932,0,1,1,0,144000.0,0,4,1,1,-12116,-2714,1,1,1,0,4,2.0,5.0
2933,1,1,1,0,112500.0,4,4,1,1,-13440,-6639,1,0,0,0,3,2.0,5.0
2935,0,1,0,1,112500.0,4,1,3,1,-10028,-1618,1,0,0,0,3,2.0,5.0
2936,1,1,1,0,180000.0,4,1,1,1,-21753,-4540,1,0,0,0,17,2.0,5.607142857142857
2937,0,0,0,0,90000.0,4,1,2,1,-21887,-1526,1,0,0,0,3,1.0,5.333333333333333
2938,1,1,1,1,270000.0,4,4,1,1,-18383,-3870,1,1,0,0,4,3.0,5.0
2939,1,0,1,0,135000.0,4,4,3,1,-9530,-430,1,1,0,0,16,1.0,5.0
2940,1,1,1,0,225000.0,4,4,1,1,-8824,-1131,1,0,0,0,17,2.0,5.454545454545454
2941,0,0,0,0,157500.0,4,1,1,1,-19657,-1710,1,0,0,0,14,2.0,5.615384615384615
2942,0,0,1,0,90000.0,4,4,4,1,-16578,-7189,1,1,0,0,6,1.0,5.0
2944,0,1,1,0,202500.0,4,1,3,1,-10754,-3870,1,1,1,0,0,1.0,5.0
2945,1,0,1,0,148500.0,0,4,1,1,-16788,-1314,1,0,0,0,17,2.0,5.0
2946,0,0,1,0,171000.0,4,4,3,1,-19881,-8405,1,0,1,0,0,1.0,5.0
2949,0,0,0,0,135000.0,0,4,1,1,-16989,-3444,1,0,0,0,17,2.0,5.6571428571428575
2950,0,1,1,1,126000.0,4,1,1,1,-9441,-157,1,0,0,0,17,3.0,5.333333333333333
2951,0,0,1,0,112500.0,2,1,1,2,-22339,-4540,1,0,0,0,0,2.0,5.821428571428571
2952,1,0,0,0,144000.0,0,2,3,4,-10337,-795,1,1,0,0,16,1.0,5.8
2953,1,1,0,0,225000.0,4,4,3,1,-9187,-308,1,0,0,0,3,1.0,4.739130434782608
2954,1,1,1,0,202500.0,4,4,1,1,-12992,-734,1,1,1,0,4,2.0,5.0
2955,1,1,0,2,213750.0,2,1,1,1,-12569,-3748,1,1,1,0,3,4.0,5.875
2956,0,1,1,1,76500.0,4,4,1,1,-11869,-4479,1,1,1,0,3,3.0,5.0
2958,0,0,1,0,157500.0,4,4,1,1,-17312,-2500,1,0,0,0,14,2.0,5.839285714285714
2959,0,1,1,1,270000.0,0,0,1,1,-12155,-979,1,0,0,0,14,3.0,5.911764705882353
2961,0,0,0,0,202500.0,2,4,4,1,-23306,-430,1,0,0,0,3,1.0,5.793103448275862
2963,0,0,1,0,126000.0,4,4,3,1,-15927,-1039,1,0,0,0,12,1.0,5.654545454545454
2966,0,0,1,0,315000.0,4,4,2,1,-15256,-3291,1,0,0,0,8,1.0,6.0
2967,1,1,1,0,315000.0,0,1,1,3,-13630,-4387,1,0,0,0,3,2.0,5.875
2968,1,0,0,2,135000.0,4,4,1,1,-13639,-430,1,0,0,0,8,4.0,5.0
2970,0,1,1,1,157500.0,4,2,0,1,-13046,-2753,1,0,0,0,17,3.0,5.9375
2971,1,0,1,1,231750.0,4,4,1,1,-14247,-135,1,0,0,0,17,3.0,5.0
2972,0,0,0,0,292500.0,0,4,0,1,-18698,-10758,1,0,0,0,8,2.0,5.25
2973,0,0,0,0,90000.0,4,4,1,1,-18945,-5340,1,1,0,0,6,2.0,5.333333333333333
2974,0,0,0,2,135000.0,0,4,1,1,-12541,-4549,1,1,1,0,8,4.0,4.842105263157895
2975,0,0,0,0,225000.0,0,4,0,1,-19488,-3119,1,1,0,0,14,2.0,5.454545454545454
2977,0,1,0,0,135000.0,4,4,1,1,-19071,-12462,1,0,1,0,3,2.0,6.0
2978,1,0,0,0,180000.0,4,4,0,1,-10304,-743,1,0,1,0,8,2.0,5.409090909090909
2979,1,0,0,2,225000.0,4,1,0,1,-16768,-3088,1,1,0,0,8,4.0,5.0
2982,0,0,0,0,117000.0,4,1,1,1,-19300,-2143,1,1,1,0,17,2.0,5.466666666666667
2983,0,0,0,0,126000.0,4,4,1,1,-15653,-2235,1,1,0,0,8,2.0,5.6
2984,0,1,0,0,121500.0,4,4,1,1,-12662,-1382,1,1,0,0,11,2.0,5.6
2985,0,0,0,0,315000.0,4,1,1,1,-18507,-5857,1,1,1,0,3,2.0,5.0
2986,1,0,0,0,157500.0,4,4,1,1,-18327,-7288,1,1,0,0,8,2.0,4.545454545454546
2987,0,1,0,2,157500.0,4,4,1,1,-13811,-378,1,1,1,0,14,4.0,5.0
2988,0,0,0,0,76500.0,0,4,1,1,-14393,-3239,1,0,0,0,17,2.0,5.769230769230769
2989,1,1,0,0,90000.0,4,4,3,1,-17096,-9236,1,0,0,0,4,1.0,5.0
2990,1,1,0,0,112500.0,4,4,0,1,-10004,-1962,1,0,1,0,17,2.0,5.0
2991,1,1,0,0,180000.0,0,4,1,1,-14632,-531,1,0,0,0,4,2.0,5.413793103448276
2992,1,1,0,0,315000.0,4,4,1,1,-13062,-501,1,0,1,0,4,2.0,5.0
2993,1,1,0,0,119250.0,4,4,1,1,-17577,-592,1,0,0,0,8,2.0,5.0
2994,1,1,0,1,270000.0,4,4,0,1,-15987,-592,1,1,0,0,4,3.0,5.0
2995,0,0,0,0,225000.0,2,4,1,1,-13556,-2966,1,0,0,0,10,2.0,5.428571428571429
2996,1,1,0,2,225000.0,4,1,1,1,-10241,-743,1,0,0,0,17,4.0,5.5
2997,1,1,0,0,346500.0,0,4,1,1,-8990,-1566,1,0,0,0,8,2.0,5.0
2998,0,0,0,0,112500.0,4,4,1,1,-14667,-1048,1,1,1,0,0,2.0,5.769230769230769
2999,0,0,0,0,191250.0,0,4,1,1,-20304,-8171,1,0,1,0,8,2.0,5.0
3000,0,1,0,0,270000.0,4,4,3,1,-15592,-3027,1,0,0,0,11,1.0,5.0
3001,0,0,0,1,99000.0,4,4,1,1,-15448,-8140,1,1,1,0,8,3.0,5.65
3002,1,0,0,0,171000.0,0,2,3,1,-11610,-166,1,1,1,0,6,1.0,5.75
3003,1,1,0,1,180000.0,4,4,1,1,-15889,-105,1,1,0,0,4,3.0,4.931034482758621
3004,1,1,0,0,132372.0,0,4,1,5,-8414,-378,1,1,0,1,14,2.0,6.0
3005,1,1,0,0,180000.0,0,4,1,2,-10388,-1109,1,0,0,0,4,2.0,5.333333333333333
3006,0,0,0,0,157500.0,4,4,4,1,-17963,-197,1,0,0,0,1,1.0,5.789473684210527
3007,0,0,0,1,135000.0,0,4,3,1,-14907,-2540,1,0,0,0,14,2.0,5.56
3008,0,1,0,0,225000.0,2,1,1,1,-9699,-2478,1,0,0,0,17,2.0,5.76
3009,0,1,0,0,157500.0,0,4,0,1,-12309,-1962,1,0,0,0,17,2.0,5.7407407407407405
3010,1,1,0,0,157500.0,0,1,1,1,-9579,-835,1,0,0,0,8,2.0,6.0
